epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3981,1.13477,1.09102,1.56099,0.87726,0.91791,0.94843,0.60729,1.26298,0.82194,1.09859,0.0670807,0.000332518,0.000332518
2,146.303,1.06508,0.89527,1.51666,0.94839,0.93657,0.97762,0.67814,1.09409,0.7762,1.05111,0.0340587,0.000643879,0.000643879
3,223.774,1.0446,0.84154,1.49815,0.91069,0.95116,0.9769,0.57622,1.38008,0.89841,1.16674,0.00101474,0.000933239,0.000933239
4,313.432,1.02636,0.82443,1.47093,0.92906,0.97015,0.96684,0.63411,1.2056,0.79202,1.04893,0.000901,0.000901,0.000901
5,409.871,0.98896,0.77072,1.44804,0.98462,0.95558,0.98839,0.67323,1.14079,0.65212,1.05845,0.000868,0.000868,0.000868
6,493.962,0.95569,0.73926,1.41561,0.96781,0.97388,0.98461,0.6652,1.16294,0.60712,1.02736,0.000835,0.000835,0.000835
7,566.443,0.94531,0.7191,1.40775,0.98867,0.97707,0.99305,0.64179,1.18913,0.65523,1.03215,0.000802,0.000802,0.000802
8,639.721,0.92482,0.69791,1.39295,0.96621,0.96031,0.98379,0.67048,1.153,0.62628,1.02649,0.000769,0.000769,0.000769
9,724.963,0.91783,0.68572,1.38386,0.96489,0.97761,0.98493,0.7066,1.05063,0.6134,0.9941,0.000736,0.000736,0.000736
10,807.924,0.8874,0.66563,1.36424,0.96217,0.98134,0.98902,0.69426,1.06055,0.55826,0.99413,0.000703,0.000703,0.000703
11,890.568,0.87943,0.64969,1.35588,0.97765,0.97934,0.99122,0.70982,1.07539,0.58085,1.00382,0.00067,0.00067,0.00067
12,971.279,0.88414,0.65156,1.35862,0.97389,0.97411,0.99224,0.68287,1.1039,0.5945,1.01054,0.000637,0.000637,0.000637
13,1044.66,0.86278,0.6286,1.34608,0.97043,0.97964,0.99206,0.69224,1.07334,0.54518,0.98537,0.000604,0.000604,0.000604
14,1118.05,0.87208,0.61927,1.34363,0.97555,0.98881,0.99165,0.70132,1.10658,0.55498,1.00059,0.000571,0.000571,0.000571
15,1188.99,0.83409,0.60346,1.31688,0.97705,0.98134,0.99026,0.67,1.12619,0.55173,1.01972,0.000538,0.000538,0.000538
16,1258.12,0.84484,0.61274,1.32441,0.97368,0.97761,0.99303,0.67602,1.11128,0.54861,1.00479,0.000505,0.000505,0.000505
17,1326.49,0.8332,0.59022,1.31951,0.97846,0.98507,0.99122,0.69806,1.0361,0.52992,0.9842,0.000472,0.000472,0.000472
18,1395.49,0.82208,0.58867,1.31404,0.967,0.98134,0.99265,0.74104,0.95184,0.52253,0.94946,0.000439,0.000439,0.000439
19,1469.97,0.8163,0.5743,1.29779,0.97778,0.99254,0.98967,0.76264,0.8615,0.50221,0.93572,0.000406,0.000406,0.000406
20,1543.68,0.80757,0.56921,1.29641,0.98153,0.99127,0.99137,0.71804,0.97691,0.48911,0.96278,0.000373,0.000373,0.000373
21,1639.52,0.54372,0.39995,1.17512,0.97072,0.98974,0.99281,0.67103,1.12946,0.55701,0.98212,0.00034,0.00034,0.00034
22,1706.9,0.54465,0.37776,1.1654,0.98512,0.98816,0.99285,0.73312,0.95105,0.50676,0.97409,0.000307,0.000307,0.000307
23,1777.09,0.51168,0.36457,1.15401,0.98113,0.99254,0.99386,0.70495,1.00833,0.49248,0.97712,0.000274,0.000274,0.000274
24,1845.36,0.51392,0.35818,1.1456,0.96725,0.99175,0.99341,0.71756,1.02025,0.50331,0.9619,0.000241,0.000241,0.000241
25,1922.78,0.50949,0.353,1.14955,0.98863,0.97324,0.99335,0.75971,0.91754,0.46567,0.93802,0.000208,0.000208,0.000208
26,2002.17,0.49491,0.34203,1.1256,0.98871,0.98044,0.99344,0.75232,0.95458,0.45216,0.94229,0.000175,0.000175,0.000175
27,2081.07,0.48741,0.34089,1.12066,0.98038,0.98134,0.99317,0.7294,1.01806,0.45597,0.95015,0.000142,0.000142,0.000142
28,2159.94,0.48377,0.33328,1.12402,0.98862,0.97231,0.99312,0.77001,0.86009,0.43767,0.92413,0.000109,0.000109,0.000109
29,2238.46,0.48245,0.32766,1.11563,0.98124,0.976,0.9937,0.72502,1.0132,0.44935,0.95487,7.6e-05,7.6e-05,7.6e-05
30,2315.34,0.46247,0.32026,1.1045,0.98493,0.97539,0.99343,0.74545,0.93582,0.44062,0.94103,4.3e-05,4.3e-05,4.3e-05
