epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.227,0.93621,0.71045,1.39435,0.97747,0.93657,0.97668,0.65009,1.20635,0.61321,1.02335,0.0669144,0.000166259,0.000166259
2,174.799,0.88727,0.66377,1.36289,0.96358,0.9873,0.99119,0.70984,1.05141,0.5687,0.97076,0.0337476,0.00033276,0.00033276
3,258.243,0.88629,0.64489,1.36345,0.92923,0.9798,0.97272,0.67365,1.12902,0.58923,1.01161,0.000580097,0.000498597,0.000498597
4,341.96,0.89245,0.66743,1.35871,0.96659,0.97761,0.98193,0.69157,1.10968,0.57956,0.98863,0.00049776,0.00049776,0.00049776
5,425.188,0.8713,0.63446,1.3485,0.98145,0.9871,0.99089,0.73068,0.9896,0.50987,0.956,0.000496023,0.000496023,0.000496023
6,508.787,0.85872,0.61245,1.33568,0.95119,0.98134,0.98912,0.71143,1.01162,0.53723,0.95879,0.000493795,0.000493795,0.000493795
7,592.76,0.85931,0.61106,1.33655,0.96002,0.9857,0.9918,0.62564,1.29532,0.58678,1.02101,0.000491081,0.000491081,0.000491081
8,676.812,0.841,0.60797,1.32063,0.97378,0.97388,0.98868,0.68221,1.13766,0.56908,0.98594,0.000487886,0.000487886,0.000487886
9,760.837,0.82813,0.59929,1.31337,0.97758,0.97626,0.98924,0.74513,0.93103,0.53052,0.93129,0.000484218,0.000484218,0.000484218
10,844.57,0.82774,0.58689,1.31285,0.97721,0.95979,0.99236,0.66617,1.09121,0.55768,0.98156,0.000480083,0.000480083,0.000480083
11,928.053,0.81424,0.57492,1.30167,0.96475,0.97388,0.98906,0.73667,0.93943,0.49997,0.95626,0.00047549,0.00047549,0.00047549
12,1011.72,0.81636,0.57733,1.3026,0.97779,0.98565,0.99053,0.73567,0.91283,0.4984,0.92844,0.000470447,0.000470447,0.000470447
13,1095.53,0.80834,0.56977,1.29714,0.96653,0.96983,0.98995,0.76461,0.89325,0.49559,0.91893,0.000464966,0.000464966,0.000464966
14,1179.17,0.81231,0.55471,1.29092,0.97049,0.98134,0.98877,0.68119,1.14762,0.53363,0.96955,0.000459057,0.000459057,0.000459057
15,1263.11,0.79332,0.54241,1.27721,0.98863,0.97299,0.99094,0.69435,1.08483,0.51555,0.9646,0.000452732,0.000452732,0.000452732
16,1346.98,0.80727,0.56514,1.2862,0.97407,0.98104,0.98903,0.73526,0.95537,0.50548,0.94867,0.000446003,0.000446003,0.000446003
17,1431.23,0.78755,0.54658,1.28077,0.98467,0.97015,0.99269,0.7251,0.99446,0.49806,0.95368,0.000438885,0.000438885,0.000438885
18,1514.7,0.78428,0.54508,1.28,0.9733,0.98507,0.99072,0.76176,0.8901,0.49124,0.92253,0.000431392,0.000431392,0.000431392
19,1598.35,0.77825,0.53428,1.26591,0.9749,0.96642,0.98939,0.80036,0.76136,0.49073,0.91322,0.000423538,0.000423538,0.000423538
20,1681.89,0.78367,0.52823,1.27394,0.98764,0.97388,0.9924,0.73458,0.95549,0.47014,0.94386,0.00041534,0.00041534,0.00041534
21,1765.24,0.7731,0.51954,1.26714,0.99119,0.97761,0.99213,0.72145,0.99175,0.48789,0.93627,0.000406814,0.000406814,0.000406814
22,1849.62,0.77942,0.52972,1.27586,0.98493,0.97525,0.99078,0.73346,0.96009,0.47844,0.93685,0.000397977,0.000397977,0.000397977
23,1934.12,0.777,0.52436,1.26361,0.97168,0.98134,0.98959,0.74375,0.92578,0.46621,0.93471,0.000388847,0.000388847,0.000388847
